NO,TC No.,Check Object 1,Check Object 2,Check content,Pre-condition,Test Data,Steps,Expected Result,Test IT Result,Executed Date,SQA,Core IT,Detail IT,Evidence,Test UT Result,Status fix bug,Executed Date DEV,DEV,Note
,REZIL_MINSP005_TC_001,Access & Init,Luồng di chuyển,Truy cập từ Home (MOB-002),Chưa login hệ thống,Role: Engineer,"1. Open app
2. Login với role Engineer
3. Tại màn hình MOB-002, click '点検開始'",Hiển thị màn hình MOB-010 Inspection Execute.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_002,Access & Init,Luồng di chuyển,Truy cập từ Plan Detail (MOB-008),Đang ở MOB-008,Inspection ID: 100,"1. Tại màn hình MOB-008, click '点検開始'",Hiển thị màn hình MOB-010 Inspection Execute.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_003,Access & Init,Luồng di chuyển,Truy cập không tồn tại data,Database không có inspection_id tương ứng,Inspection ID: 99999,1. Truy cập MOB-010 bằng link/deep link không hợp lệ,"Hiển thị popup lỗi: '該当点検は存在しない'.
Đóng popup sẽ redirect về Home.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_004,Common UI,Back button,Quay lại màn trước,Đang ở màn MOB-010,N/A,1. Nhấn nút Back (<-),"Di chuyển về màn hình trước đó, dữ liệu trên màn hình trước được refresh.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_005,Common UI,inspection_category,Hiển thị loại điểm kiểm,Có data trong DB,"category: 1, 2, 3...",1. Quan sát trường Category trên Header,"Hiển thị text map theo value (VD: 1 -> 月次点検, 2 -> 年次点検(無停電)...).",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_006,Common UI,weather_temperature_humidity,Hiển thị thời tiết,Có data trong plan,"{""code"": 0, ""weather"": ""晴"", ""humidity"": ""70"", ""temperature"": ""23""}",1. Quan sát UI thời tiết,Hiển thị format: [Icon] + 23°C / 70%.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_007,Sync & Concurrency,Download Data,Tải dữ liệu từ server - Hợp lệ,"Có data server, có thay đổi local",N/A,"1. Click button ダウンロード
2. Click はい trên popup cảnh báo","Tải dữ liệu server ghi đè local. Hiển thị toast thành công. Background hết vàng.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_008,Sync & Concurrency,Upload Data,Đẩy dữ liệu lên server - Hợp lệ,Có data local mới,N/A,"1. Click button アップロード
2. Click はい trên popup","Ghi đè dữ liệu server. Hiển thị toast thành công.
[SQL Check]:
SELECT * FROM inspection WHERE id = <id>
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_009,Sync & Concurrency,Concurrency,Nhiều người dùng thao tác,User A và User B cùng mở 1 inspection,"User A, User B","1. User A mở MOB-010, nhập data X
2. User B mở MOB-010, nhập data Y và ấn Upload
3. User A ấn Upload","User A nhận được cảnh báo conflict dữ liệu (hoặc ghi đè tùy spec, mặc định sẽ cảnh báo). Cần check DB chỉ lưu data cuối cùng hợp lệ.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_010,Sync & Concurrency,Concurrency,Nhiều người dùng - Offline,"User A offline, User B online",N/A,"1. User B upload thành công
2. User A có mạng lại và bấm Upload","Dữ liệu User A ghi đè lên server. User B nếu ấn Download sẽ bị mất data cũ của B, lấy data của A.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_011,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Nhập hợp lệ (EP),N/A,Value: 10,"1. Nhập 10 vào chk_hv_panel_demand_setpoint_num (デマンド指示値)
2. Focus out","Giữ nguyên giá trị nhập. Format theo Decimal(5,3).",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_012,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Bỏ trống (Required),N/A,Trống,"1. Xóa trắng chk_hv_panel_demand_setpoint_num (デマンド指示値)
2. Focus out","Trường bị viền đỏ, hiển thị icon 必須. Tiến độ phòng không hoàn thành.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_013,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Nhập Min boundary,N/A,Value: 0,"1. Nhập 0
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
