TC ID,Module,Sub-module,Risk Level,Test Title,Pre-Condition,Test Steps,Expected Result,Priority,Test Data
CRM_CUST_TC_001,M01 - Danh Sách KH,,Low,Xem danh sách KH - Hiển thị đúng cột và dữ liệu,"Admin đã đăng nhập hệ thống CRM. Có ít nhất 1 KH trong hệ thống.","1. Truy cập URL: https://crm.anhtester.com/admin/clients
2. Quan sát bảng DataTable","1. Trang hiển thị thành công (HTTP 200)
2. Bảng hiển thị đúng 9 cột: Checkbox, #, Company, Primary Contact, Primary Email, Phone, Active, Groups, Date Created
3. Cột Company hiển thị dạng link
4. Cột Active hiển thị toggle switch
5. Cột Groups hiển thị badge/tag",High,URL: https://crm.anhtester.com/admin/clients
CRM_CUST_TC_002,M01 - Danh Sách KH,,Low,Xem bảng Summary Stats hiển thị đúng 6 chỉ số,"Admin đã đăng nhập.","1. Truy cập https://crm.anhtester.com/admin/clients
2. Quan sát phần summary ở đầu trang","1. Hiển thị đúng 6 chỉ số: Total Customers, Active Customers, Inactive Customers, Active Contacts, Inactive Contacts, Contacts Logged In Today
2. Các số liệu là số nguyên dương hoặc 0
3. Active + Inactive Customers = Total Customers",Medium,—
CRM_CUST_TC_003,M01 - Danh Sách KH,,Low,Phân trang - Giá trị mặc định là 25 records,"Admin đã đăng nhập. Có ít nhất 25 KH.","1. Truy cập https://crm.anhtester.com/admin/clients
2. Kiểm tra dropdown phân trang","1. Dropdown phân trang mặc định là 25
2. Bảng hiển thị tối đa 25 dòng
3. Nếu > 25 KH: Xuất hiện nút Next/Previous phân trang",Medium,Số records mặc định: 25
CRM_CUST_TC_004,M01 - Danh Sách KH,,Low,Phân trang - Chọn hiển thị 50 records,"Admin đã đăng nhập. Có ít nhất 50 KH.","1. Truy cập trang danh sách KH
2. Click dropdown phân trang
3. Chọn 50","1. Bảng reload và hiển thị tối đa 50 dòng
2. Tổng số trang thay đổi tương ứng",Medium,Số records: 50
CRM_CUST_TC_005,M01 - Danh Sách KH,,Low,Phân trang - Chọn hiển thị 100 records,"Admin đã đăng nhập. Có ít nhất 100 KH.","1. Truy cập trang danh sách KH
2. Click dropdown phân trang → Chọn 100","1. Bảng reload và hiển thị tối đa 100 dòng
2. Tổng số trang thay đổi tương ứng",Medium,Số records: 100
CRM_CUST_TC_006,M01 - Danh Sách KH,,Low,Sort bảng theo cột Company (A→Z),"Admin đã đăng nhập. Có ít nhất 2 KH tên khác nhau.","1. Truy cập trang danh sách KH
2. Click vào tiêu đề cột Company (lần 1)","1. Bảng sắp xếp theo thứ tự A-Z theo Company
2. Mũi tên sort hiển thị tại cột Company",Medium,—
CRM_CUST_TC_007,M01 - Danh Sách KH,,Low,Sort bảng theo cột Company (Z→A),"Admin đã đăng nhập. Có ít nhất 2 KH.","1. Truy cập trang danh sách KH
2. Click Company lần 1 (A-Z)
3. Click Company lần 2 (Z-A)","1. Bảng sắp xếp theo thứ tự Z-A
2. Mũi tên sort đổi chiều",Low,—
CRM_CUST_TC_008,M01 - Danh Sách KH,,Low,Sort bảng theo cột Date Created,"Admin đã đăng nhập. Có ít nhất 2 KH.","1. Truy cập trang danh sách KH
2. Click tiêu đề cột Date Created","1. Bảng sắp xếp theo ngày tạo (cũ→mới hoặc mới→cũ)
2. Format ngày đúng: dd-mm-yyyy HH:mm:ss",Low,—
CRM_CUST_TC_009,M01 - Danh Sách KH,,Low,Click link Company điều hướng đến trang chi tiết KH,"Admin đã đăng nhập. Có ít nhất 1 KH.","1. Truy cập trang danh sách KH
2. Click vào tên Company của một KH","1. Hệ thống điều hướng đến /admin/clients/client/{id}
2. Trang chi tiết hiển thị đúng thông tin KH đã click",High,—
CRM_CUST_TC_010,M01 - Danh Sách KH,,Low,Nút New Customer điều hướng đến form tạo mới,"Admin đã đăng nhập.","1. Truy cập trang danh sách KH
2. Click nút '+ New Customer'","1. Hệ thống điều hướng đến /admin/clients/client
2. Tab Customer Details hiển thị mặc định
3. Form rỗng sẵn sàng nhập liệu",High,—
